Internship Id,Duration,Opening,Number of Applications,Stipend Amount,Posting Month,Posting Year,Days Since Posted,Number of Skills,Number of Perks,Role,Company Name,Duration Category,Stipend Currency,Application Volume,City,Country
2456465,4,1,0.0,5000.0,,,,8,3,Business Development (Sales) Internship,Madbrains Technologies LLP,Medium-term (3-4 months),INR,Early Applicant,('Chandigarh,)
2456478,6,1,0.0,8000.0,,,,5,5,Human Resources (HR) Internship,Jobs Flash Consulting Services,Long-term (5-6 months),INR,Early Applicant,('Gurgaon',)
2452185,4,1,0.0,7000.0,,,,2,4,Content & E-Commerce Management Internship,Fall For Flora,Medium-term (3-4 months),INR,Early Applicant,('Faridabad,)
2450936,3,4,0.0,7000.0,,,,2,2,Project Management Internship,Special Situation Advisors India Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Thane,)
2450882,3,4,0.0,7000.0,,,,10,2,Digital Marketing Internship,Special Situation Advisors India Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Thane,)
2461135,2,10,0.0,8000.0,,,,3,4,Business Development (Sales) Internship,Pradeep K,Short-term (1-2 months),INR,Early Applicant,('Jaipur',)
2451137,3,4,0.0,7000.0,,,,3,2,Client Acquisition Internship,Special Situation Advisors India Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Thane,)
2448829,2,2,0.0,10000.0,,,,4,2,Business Development Internship,Bright EduWorld,Short-term (1-2 months),INR,Early Applicant,('Pune',)
2453422,4,2,0.0,7000.0,,,,5,4,Business Development (Sales) Internship,Fall For Flora,Medium-term (3-4 months),INR,Early Applicant,('Delhi',)
2452150,2,3,0.0,8000.0,,,,2,1,Video Editing Internship,Affilytics Private Limited,Short-term (1-2 months),INR,Early Applicant,('Delhi',)
2462533,6,4,0.0,6500.0,,,,4,4,Program Management (Edtech) Internship,Engineer's Cradle,Long-term (5-6 months),INR,Early Applicant,('Pune',)
2462522,3,2,0.0,12000.0,,,,3,4,Copywriting Internship,Ayurveda House Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Delhi',)
2462514,6,2,0.0,5000.0,,,,1,1,Full Stack Development - ONDC Network Internship,Yardstick,Long-term (5-6 months),INR,Early Applicant,('Bangalore',)
2462508,3,5,0.0,5000.0,,,,6,4,Video Editing/Making Internship (Part time/Remote),Infits,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2462455,3,1,0.0,8000.0,,,,2,1,Business Development (Sales) Internship,Indika AI Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Delhi',)
2462474,5,2,0.0,10000.0,,,,6,4,Supply Chain & Logistics Operations Internship,Stockarea,Long-term (5-6 months),INR,Early Applicant,('Chennai',)
2462501,3,5,0.0,8000.0,,,,1,2,Human Resources (HR) Internship,Medius Technologies Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2462481,3,4,0.0,15000.0,,,,2,4,Business Development (Sales) Internship,Punjabi Burgers,Medium-term (3-4 months),INR,Early Applicant,('Bangalore',)
2462449,3,4,0.0,10000.0,,,,2,0,Graphic Design Internship,Brandshark,Medium-term (3-4 months),INR,Early Applicant,('Bangalore',)
2461927,4,1,0.0,25000.0,,,,3,5,Content Writing Internship,LifeGuru.app,Medium-term (3-4 months),INR,Early Applicant,('Bangalore',)
2462544,3,5,0.0,5000.0,,,,7,4,Web Development Internship (Part time/Remote),Infits,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2462511,3,10,0.0,5000.0,,,,7,4,Flutter Development Internship (Part time/Remote),Infits,Medium-term (3-4 months),INR,Early Applicant,('Work from home',)
2462371,3,2,0.0,8000.0,,,,5,4,Human Resources (HR) Internship,HireDesigners,Medium-term (3-4 months),INR,Early Applicant,('Noida',)
2462346,6,3,0.0,33000.0,,,,1,1,Mathematics Teacher Internship,Refining Skills Academy (RS Academy),Long-term (5-6 months),INR,Early Applicant,('Bangalore',)
2462361,6,2,0.0,33000.0,,,,1,1,Science Teacher Internship,Refining Skills Academy (RS Academy),Long-term (5-6 months),INR,Early Applicant,('Bangalore',)
2462394,3,2,0.0,11000.0,,,,2,2,Script Writing Internship,Tring,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2462406,3,5,0.0,15000.0,,,,2,2,B2B Sales Internship,Tring,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2462369,6,2,0.0,12000.0,,,,1,5,Talent Acquisition Internship,Eat Nino Private Limited,Long-term (5-6 months),INR,Early Applicant,('Mumbai',)
2450244,6,4,0.0,14000.0,,,,5,3,Teaching Internship,Bricks 4 Kidz,Long-term (5-6 months),INR,Early Applicant,('Delhi',)
2461594,6,4,0.0,10000.0,,,,8,5,Business Development (Sales) Internship,7Entertainment,Long-term (5-6 months),INR,Early Applicant,('Mumbai',)
2461738,6,2,0.0,15000.0,,,,2,3,Field Services Internship,Planys Technologies Private Limited,Long-term (5-6 months),INR,Early Applicant,('Chennai',)
2462295,3,3,0.0,3000.0,,,,2,4,Law/Legal Internship,Hamari Pahchan NGO,Medium-term (3-4 months),INR,Early Applicant,('Delhi',)
2462228,6,5,0.0,5000.0,,,,10,3,Graphic Design Internship,Fabulous Media Private Limited,Long-term (5-6 months),INR,Early Applicant,('Gurgaon',)
2462219,3,3,0.0,10000.0,,,,12,4,Social Media Marketing Internship,Right Health & Pharmaceuticals,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2462130,3,1,0.0,15000.0,,,,5,5,Video Editing/Making Internship,APTAGRIM CONSULTING PRIVATE LIMITED,Medium-term (3-4 months),INR,Early Applicant,('Hyderabad',)
2462020,6,3,0.0,8000.0,,,,7,3,Social Media Marketing Internship,Guruji Astro,Long-term (5-6 months),INR,Early Applicant,('Jaipur',)
2461706,6,10,0.0,10000.0,,,,3,1,Content Writing Internship,Requin Solutions Private Limited,Long-term (5-6 months),INR,Early Applicant,('Jaipur',)
2449817,6,2,0.0,8000.0,,,,9,3,Social Media Marketing Internship,Reya International,Long-term (5-6 months),INR,Early Applicant,('Noida',)
2461931,6,1,0.0,20000.0,,,,1,5,Graphic Design Internship,Goodera,Long-term (5-6 months),INR,Early Applicant,('Bangalore',)
2462357,6,1,0.0,7000.0,,,,6,4,Digital Marketing Internship,Dev Jewels,Long-term (5-6 months),INR,Early Applicant,('Surat',)
2462293,3,2,0.0,10000.0,,,,4,3,Business Development (Sales) Internship,Evogue Media LLP,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2461791,6,2,0.0,7000.0,,,,4,4,Digital Marketing Internship,Engineer's Cradle,Long-term (5-6 months),INR,Early Applicant,('Pune,)
2456830,6,1,0.0,4000.0,,,,5,4,Dietetics/Nutrition Internship (Part time),Nikita Vakil,Long-term (5-6 months),INR,Early Applicant,('Mumbai',)
2462200,6,2,0.0,10000.0,,,,4,6,Search Engine Optimization (SEO) Internship,Growify Digital,Long-term (5-6 months),INR,Early Applicant,('Delhi',)
2462003,6,2,0.0,18000.0,,,,0,0,Logistics Internship,Arcatron Mobility Private Limited,Long-term (5-6 months),INR,Early Applicant,('Pune',)
2461911,3,5,0.0,8000.0,,,,7,2,Digital Marketing Internship,IDZ Digital Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2462365,3,1,0.0,10000.0,,,,5,3,Social Media Marketing Internship,Ayurveda House Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Delhi',)
2462210,6,1,0.0,15000.0,,,,5,5,Operations Internship,YourDOST Health Solutions,Long-term (5-6 months),INR,Early Applicant,('Bangalore',)
2461958,2,2,0.0,15000.0,,,,8,3,Strategy Consulting - Sustainability & Climate Tech Internship,Energy Alternatives India,Short-term (1-2 months),INR,Early Applicant,('Chennai',)
2461944,6,3,0.0,15000.0,,,,6,5,Search Engine Optimization (SEO) Internship,SharePal,Long-term (5-6 months),INR,Early Applicant,('Bangalore',)
2461823,4,2,0.0,8000.0,,,,6,3,Marketing Executive Internship,Link Promotions And Exhibits,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2449817,6,2,0.0,8000.0,,,,9,3,Social Media Marketing Internship,Reya International,Long-term (5-6 months),INR,Early Applicant,('Noida',)
2461224,2,10,0.0,5000.0,,,,1,3,Business Development (Sales) Internship (Part time),SuperK,Short-term (1-2 months),INR,Early Applicant,('Mumbai',)
2461944,6,3,0.0,15000.0,,,,6,5,Search Engine Optimization (SEO) Internship,SharePal,Long-term (5-6 months),INR,Early Applicant,('Bangalore',)
2462273,3,20,0.0,15000.0,,,,1,1,Real Estate Sales Internship,Homesync Real Estate Advisory Private Limited,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2462020,6,3,0.0,8000.0,,,,7,3,Social Media Marketing Internship,Guruji Astro,Long-term (5-6 months),INR,Early Applicant,('Jaipur',)
2462295,3,3,0.0,3000.0,,,,2,4,Law/Legal Internship,Hamari Pahchan NGO,Medium-term (3-4 months),INR,Early Applicant,('Delhi',)
2462293,3,2,0.0,10000.0,,,,4,3,Business Development (Sales) Internship,Evogue Media LLP,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2462228,6,5,0.0,5000.0,,,,10,3,Graphic Design Internship,Fabulous Media Private Limited,Long-term (5-6 months),INR,Early Applicant,('Gurgaon',)
2462216,3,2,0.0,10000.0,,,,6,4,Operations Internship,Right Health & Pharmaceuticals,Medium-term (3-4 months),INR,Early Applicant,('Mumbai',)
2450244,6,4,0.0,14000.0,,,,5,3,Teaching Internship,Bricks 4 Kidz,Long-term (5-6 months),INR,Early Applicant,('Delhi',)
2462210,6,1,0.0,15000.0,,,,5,5,Operations Internship,YourDOST Health Solutions,Long-term (5-6 months),INR,Early Applicant,('Bangalore',)
2462130,3,1,0.0,15000.0,,,,5,5,Video Editing/Making Internship,APTAGRIM CONSULTING PRIVATE LIMITED,Medium-term (3-4 months),INR,Early Applicant,('Hyderabad',)
